,Adview
0,2082.0957
1,2307.431
2,1638.2585
3,1376.3516
4,2011.0776
5,1622.845
6,1664.1923
7,2330.3894
8,1488.7458
9,1958.618
10,1791.8202
11,2266.423
12,2377.757
13,797.4377
14,1132.1952
15,1338.2203
16,2154.7942
17,1642.9426
18,1971.634
19,2176.612
20,1871.9296
21,2132.445
22,1851.5641
23,2177.29
24,2088.0876
25,2139.7886
26,1506.7491
27,2267.0566
28,2169.89
29,1308.2635
30,2194.803
31,1982.7052
32,1632.959
33,1393.9238
34,1153.3667
35,1766.6377
36,2199.3171
37,1330.4197
38,1849.508
39,2269.391
40,1919.8038
41,1452.9338
42,1464.729
43,1261.3916
44,2318.882
45,1348.6603
46,1927.2527
47,1265.307
48,2414.2651
49,1280.3722
50,2078.184
51,2006.7766
52,1874.195
53,1957.4645
54,2043.5707
55,1311.1467
56,1393.5154
57,2238.6897
58,1690.5135
59,1430.7775
60,2138.4275
61,1541.0641
62,1980.289
63,1986.9062
64,2068.2573
65,2433.5825
66,2252.3196
67,1819.541
68,1958.8978
69,1673.8687
70,1996.5824
71,2011.4944
72,1820.0452
73,1597.4166
74,1502.365
75,1959.2411
76,1517.5353
77,1317.239
78,1602.055
79,2042.9332
80,2104.4033
81,1960.8656
82,2273.9941
83,2322.7166
84,2160.635
85,2333.5854
86,1921.1107
87,1287.301
88,1556.5663
89,1628.5474
90,1570.876
91,2190.1497
92,2001.4487
93,1975.9484
94,1368.8816
95,1751.0126
96,1727.8645
97,2256.5664
98,1333.342
99,1626.2772
100,2025.1843
101,2070.3345
102,1771.8129
103,2254.676
104,1907.7886
105,1999.9597
106,1822.9911
107,2182.2666
108,1190.1436
109,2148.2312
110,1824.1526
111,2139.8252
112,2062.6729
113,2108.9937
114,2084.9539
115,1074.0491
116,1498.1182
117,2294.7405
118,2385.3457
119,2109.749
120,2065.1338
121,2279.1575
122,1353.6663
123,2405.1726
124,2195.6028
125,1990.6614
126,1681.6669
127,2182.8337
128,2496.629
129,2282.8828
130,1463.6753
131,1085.8506
132,2522.717
133,2156.9885
134,2010.4949
135,1631.8726
136,1272.1221
137,1756.9834
138,1640.585
139,1346.7953
140,1620.4581
141,1814.3147
142,1119.5801
143,1657.7275
144,1418.1022
145,1561.7383
146,1670.6333
147,1422.9049
148,1243.753
149,2025.9764
150,1527.6437
151,907.0712
152,1517.5839
153,2112.2134
154,1789.0085
155,1610.9391
156,2020.4457
157,1370.122
158,2195.2332
159,1537.6595
160,2334.9844
161,2079.4531
162,1649.8638
163,1381.2539
164,1961.4579
165,1930.5702
166,1840.0793
167,2134.0278
168,2250.3677
169,1914.1627
170,1969.9423
171,2151.5
172,1565.8429
173,1400.3004
174,1323.7078
175,1747.2734
176,1334.7124
177,2238.467
178,2243.6973
179,1593.1212
180,2177.9827
181,2092.686
182,1863.4031
183,2218.9307
184,1786.0903
185,1790.1982
186,2441.5762
187,2306.5498
188,2476.9622
189,1922.7805
190,1664.8141
191,1760.6517
192,2025.6365
193,1372.478
194,2160.12
195,1725.1444
196,2088.1243
197,2160.0073
198,1758.4651
199,1792.1991
200,1416.529
201,1414.7981
202,1637.749
203,1700.0244
204,1098.5471
205,2131.1416
206,1676.1195
207,2127.2493
208,1351.4222
209,1757.8846
210,1967.6714
211,2620.9478
212,2493.9668
213,1511.7208
214,1664.8483
215,2060.5085
216,2260.4885
217,2155.3162
218,1976.5367
219,2122.4595
220,2156.3113
221,1934.5635
222,2199.5088
223,2181.635
224,1659.3214
225,1809.3374
226,1857.746
227,2240.0667
228,1590.6428
229,1178.6117
230,1948.1562
231,2037.4803
232,1577.5017
233,2168.1104
234,1463.6503
235,2077.3518
236,2413.774
237,2197.918
238,1081.3467
239,2141.8772
240,1890.4751
241,1951.2548
242,1654.8286
243,1390.3658
244,1955.6466
245,1599.4978
246,1333.6233
247,1451.6438
248,1864.6464
249,1703.3545
250,1624.4827
251,1277.4385
